time,[0],[1],[2],[3],[4],[5],[6],[7]
72,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
73,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
74,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
75,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
76,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
77,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
78,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
79,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
80,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
81,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
82,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
83,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
84,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
85,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
86,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
87,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
88,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
89,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
90,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
91,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
92,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
93,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
